line,driver,provenance,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,FY total
DRIVERS,,,,,,,,,,,,,,,
opening customers,prior closing,[given],<<TBC>>,"=D6","=E6","=F6","=G6","=H6","=I6","=J6","=K6","=L6","=M6","=N6",
new customers,channel with a CAPACITY LIMIT,[ASSUMPTION — confirm],<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,"=SUM(D4:O4)"
monthly churn rate,cohort retention,[ASSUMPTION — confirm],<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,rate — do not sum
closing customers,formula,derived,"=D3*(1-D5)+D4","=E3*(1-E5)+E4","=F3*(1-F5)+F4","=G3*(1-G5)+G4","=H3*(1-H5)+H4","=I3*(1-I5)+I4","=J3*(1-J5)+J4","=K3*(1-K5)+K4","=L3*(1-L5)+L4","=M3*(1-M5)+M4","=N3*(1-N5)+N4","=O3*(1-O5)+O4",closing balance — do not sum
ARPA,price x plan mix,[ASSUMPTION — confirm],<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,average — do not sum
,,,,,,,,,,,,,,,
P&L,,,,,,,,,,,,,,,
Revenue,customers x ARPA,derived,"=D6*D7","=E6*E7","=F6*F7","=G6*G7","=H6*H7","=I6*I7","=J6*J7","=K6*K7","=L6*L7","=M6*M7","=N6*N7","=O6*O7","=SUM(D10:O10)"
COGS: hosting,requests / tenants,[measured: finops-analyst],<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,"=SUM(D11:O11)"
COGS: third-party APIs,transactions,[measured],<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,"=SUM(D12:O12)"
COGS: AI / token spend,sessions or features,[measured: ai-spend-report],<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,<<TBC>>,"=SUM(D13:O13)"
